id,treatment,morph,colony,tank,maat0,maat1,dmaa,pmaa,hpt0,hpt1,dhp,php
GA1,par,green,a,1,2.59E+00,2.39E+00,-2.05E-01,-7.882571429,15.56538462,26.08,10.51461538,67.5512725
GA2,par,green,a,2,3.03E+00,2.29E+00,-7.44E-01,-24.51165891,21.47676768,9.927272727,-11.54949495,-53.77669082
GA3,par,green,a,3,2.95E+00,2.09E+00,-8.56E-01,-29.06033333,17.36589147,15.47189542,-1.89399605,-10.90641418
GA4,paruv,green,a,4,3.71E+00,4.45E+00,7.43E-01,20.05897727,39.57,11.69156627,-27.87843373,-70.45345901
GA5,paruv,green,a,5,3.042059783,4.167839055,1.13E+00,37.00713833,30.24266667,9.872222222,-20.37044445,-67.3566411
GA6,paruv,green,a,6,3.176043557,5.681060909,2.51E+00,78.87226062,24.10625,12.35061728,-11.75563272,-48.76591224
GB1,par,green,b,1,3.76E+00,2.85E+00,-9.10E-01,-24.19333333,39.89824561,9.500740741,-30.39750487,-76.18757267
GB2,par,green,b,2,5.055265187,1.956251112,-3.10E+00,-61.30270046,51.87111111,14.14591195,-37.72519916,-72.72872771
GB3,par,green,b,3,7.506550528,5.05291783,-2.45E+00,-32.68655408,20.92,10.92851406,-9.99148594,-47.76044904
GB4,paruv,green,b,4,4.224673846,5.349173011,1.12E+00,26.6174196,36.25714286,11.94980392,-24.30733894,-67.04151795
GB5,paruv,green,b,5,4.446115732,7.170875215,2.72E+00,61.28404314,20.36396396,10.45897436,-9.9049896,-48.63979144
GB6,paruv,green,c,6,5.33E+00,5.05E+00,-2.79E-01,-5.243636364,21.02222222,19.46666667,-1.55555555,-7.399577141
GC1,par,green,c,1,7.315921963,5.476681169,-1.84E+00,-25.14024621,22.30175439,9.391397849,-12.91035654,-57.88942123
GC2,par,green,c,2,6.632409178,2.814066223,-3.82E+00,-57.5709799,33.472,12.48307692,-20.98892308,-62.70591264
GC3,par,green,c,3,4.38320446,1.856489077,-2.53E+00,-57.64539177,67.40606061,10.8741784,-56.53188221,-83.86765478
GC4,paruv,green,c,4,4.74E+00,4.25E+00,-4.90E-01,-10.32869565,31.10769231,11.49422222,-19.61347009,-63.05022531
GC5,paruv,green,c,5,3.448427341,5.515364229,2.07E+00,59.9385367,32.99130435,16.6202381,-16.37106625,-49.62236739
GC6,paruv,green,c,6,3.179137486,7.082060945,3.90E+00,122.7667402,42.55686275,13.32554113,-29.23132162,-68.6876798
GD1,par,green,d,1,5.78E+00,6.18E+00,4.00E-01,6.927532847,26.33777778,14.56777778,-11.77,-44.68866014
GD2,par,green,d,2,7.443216697,4.630005686,-2.81E+00,-37.79563495,8.119626168,16.74965986,8.630033692,106.2860963
GD3,par,green,d,3,4.370317517,2.715825858,-1.65E+00,-37.85747037,19.67017544,13.0655914,-6.60458404,-33.57664023
GD4,paruv,green,d,4,6.03E+00,6.42E+00,3.93E-01,6.528912752,34.33888889,12.06136364,-22.27752525,-64.87549822
GD5,paruv,green,d,5,6.363333888,3.140037517,-3.22E+00,-50.6542078,7.490342679,11.35277778,3.862435101,51.56553267
GD6,paruv,green,d,6,7.687880283,4.543271155,-3.14E+00,-40.90346119,7.577570093,15.14060606,7.563035967,99.80819543
GE1,par,green,e,1,5.33E+00,5.52E+00,1.86E-01,3.495880597,24.63137255,14.32424242,-10.30713013,-41.84553706
GE2,par,green,e,2,6.17E+00,5.21E+00,-9.60E-01,-15.5587089,21.84065041,16.44942529,-5.39122512,-24.68436159
GE3,par,green,e,3,8.409700492,3.092944953,-5.32E+00,-63.22169908,17.54509804,21.83076923,4.28567119,24.42660155
GE4,paruv,green,e,4,8.34E+00,8.71E+00,3.65E-01,4.378756757,15.03050847,8.8432,-6.18730847,-41.16499773
GE5,paruv,green,e,5,5.670795404,7.623192036,1.95E+00,34.42897325,10.89593496,10.86462585,-0.03130911,-0.287346704
GE6,paruv,green,e,6,4.884255459,3.491510836,-1.39E+00,-28.51498319,17.27943262,16.07672956,-1.20270306,-6.960315691
GF1,par,green,f,1,5.15E+00,4.65E+00,-4.96E-01,-9.633258427,12.90746269,19.29037037,6.38290768,49.45129677
GF2,par,green,f,2,3.507283562,5.229880571,1.72E+00,49.11484852,21.76936937,11.86203704,-9.90733233,-45.51042413
GF3,par,green,f,3,6.560647098,3.697313286,-2.86E+00,-43.64407609,18.97361111,1.448928571,-17.52468254,-92.36345384
GF4,paruv,green,f,4,2.909693314,5.742383605,2.83E+00,97.35356909,16.6964539,11.67951807,-5.01693583,-30.04791233
GF5,paruv,green,f,5,5.511687906,6.752004501,1.24E+00,22.50338946,9.801532567,12.47192982,2.670397253,27.24469092
GF6,paruv,green,f,6,7.506597247,5.168054729,-2.34E+00,-31.15316356,20.32028986,13.58383838,-6.73645148,-33.15135525
GG1,par,green,g,1,5.338962006,3.34202804,-2.00E+00,-37.40303759,11.03287671,24.78383838,13.75096167,124.6362307
GG2,par,green,g,2,6.328177041,4.403092126,-1.93E+00,-30.42084478,16.99496855,13.07083333,-3.92413522,-23.08998224
GG3,par,green,g,3,3.46E+00,2.87E+00,-5.93E-01,-17.11826966,14.27888889,15.07636364,0.79747475,5.584991634
GG4,paruv,green,g,4,4.718057986,2.643876045,-2.07E+00,-43.96262079,29.20222222,20.85128205,-8.35094017,-28.59693385
GG5,paruv,green,g,5,2.234817068,5.162241888,2.93E+00,130.9916978,20.09444444,13.56,-6.53444444,-32.51866186
