id,treatment,morph,colony,tank,pamt0,pamt1,dpam,ppam
GA1,par,green,a,1,0.7,0.207,-0.493,-70.42857143
GA2,par,green,a,2,0.716,0.17,-0.546,-76.25698324
GA3,par,green,a,3,0.652,0.087,-0.565,-86.65644172
GA4,paruv,green,a,4,0.719,0.319,-0.4,-55.63282337
GA5,paruv,green,a,5,0.726,0.175,-0.551,-75.8953168
GA6,paruv,green,a,6,0.707,0.308,-0.399,-56.43564356
GB1,par,green,b,1,0.689,0.289,-0.4,-58.05515239
GB2,par,green,b,2,0.643,0.118,-0.525,-81.64852255
GB3,par,green,b,3,0.691,0.09,-0.601,-86.97539797
GB4,paruv,green,b,4,0.689,0.283,-0.406,-58.92597968
GB5,paruv,green,b,5,0.704,0.376,-0.328,-46.59090909
GB6,paruv,green,b,6,0.734,0.258,-0.476,-64.85013624
GC1,par,green,c,1,0.671,0.236,-0.435,-64.82861401
GC2,par,green,c,2,0.663,0.17,-0.493,-74.35897436
GC3,par,green,c,3,0.715,0.184,-0.531,-74.26573427
GC4,paruv,green,c,4,0.724,0.333,-0.391,-54.00552486
GC5,paruv,green,c,5,0.705,0.373,-0.332,-47.09219858
GC6,paruv,green,c,6,0.726,0.269,-0.457,-62.9476584
GD1,par,green,d,1,0.654,0.211,-0.443,-67.73700306
GD2,par,green,d,2,0.707,0.213,-0.494,-69.87270156
GD3,par,green,d,3,0.674,0.313,-0.361,-53.56083086
GD4,paruv,green,d,4,0.718,0.313,-0.405,-56.40668524
GD5,paruv,green,d,5,0.704,0.306,-0.398,-56.53409091
GD6,paruv,green,d,6,0.72,0.335,-0.385,-53.47222222
GE1,par,green,e,1,0.711,0.311,-0.4,-56.25879044
GE2,par,green,e,2,0.69,0.31,-0.38,-55.07246377
GE3,par,green,e,3,0.594,0.207,-0.387,-65.15151515
GE4,paruv,green,e,4,0.723,0.315,-0.408,-56.43153527
GE5,paruv,green,e,5,0.736,0.302,-0.434,-58.9673913
GE6,paruv,green,e,6,0.732,0.362,-0.37,-50.54644809
GF1,par,green,f,1,0.685,0.169,-0.516,-75.32846715
GF2,par,green,f,2,0.657,0.283,-0.374,-56.92541857
GF3,par,green,f,3,0.666,0.149,-0.517,-77.62762763
GF4,paruv,green,f,4,0.737,0.241,-0.496,-67.29986431
GF5,paruv,green,f,5,0.733,0.461,-0.272,-37.10777626
GF6,paruv,green,f,6,0.683,0.337,-0.346,-50.65885798
GG1,par,green,g,1,0.66,0.154,-0.506,-76.66666667
GG2,par,green,g,2,0.635,0.165,-0.47,-74.01574803
GG3,par,green,g,3,0.672,0.094,-0.578,-86.01190476
GG4,paruv,green,g,4,0.732,0.261,-0.471,-64.3442623
GG5,paruv,green,g,5,0.711,0.306,-0.405,-56.96202532
GG6,paruv,green,g,6,0.683,0.436,-0.247,-36.16398243
GH1,par,green,h,1,0.653,0.191,-0.462,-70.75038285
GH2,par,green,h,2,0.695,0.112,-0.583,-83.88489209
GH3,par,green,h,3,0.72,0.145,-0.575,-79.86111111
GH4,paruv,green,h,4,0.716,0.325,-0.391,-54.60893855
GH5,paruv,green,h,5,0.7,0.353,-0.347,-49.57142857
GH6,paruv,green,h,6,0.738,0.322,-0.416,-56.36856369
RI1,par,red,i,1,0.684,0.27,-0.414,-60.52631579
RI2,par,red,i,2,0.727,0.112,-0.615,-84.59422283
RI3,par,red,i,3,0.687,0.277,-0.41,-59.6797671
RI4,paruv,red,i,4,0.731,0.214,-0.517,-70.7250342
RI5,paruv,red,i,5,0.702,0.23,-0.472,-67.23646724
RI6,paruv,red,i,6,0.728,0.233,-0.495,-67.99450549
RJ1,par,red,j,1,0.684,0.281,-0.403,-58.91812865
RJ2,par,red,j,2,0.699,0.195,-0.504,-72.10300429
RJ3,par,red,j,3,0.696,0.297,-0.399,-57.32758621
RJ4,paruv,red,j,4,0.713,0.277,-0.436,-61.15007013
RJ5,paruv,red,j,5,0.708,0.308,-0.4,-56.49717514
RJ6,paruv,red,j,6,0.698,0.339,-0.359,-51.43266476
RK1,par,red,k,1,0.731,0.151,-0.58,-79.34336525
RK2,par,red,k,2,0.737,0.31,-0.427,-57.9375848
RK3,par,red,k,3,0.666,0.356,-0.31,-46.54654655
RK4,paruv,red,k,4,0.725,0.383,-0.342,-47.17241379
RK5,paruv,red,k,5,0.723,0.528,-0.195,-26.97095436
RK6,paruv,red,k,6,0.725,0.362,-0.363,-50.06896552
YL1,par,yellow,l,1,0.731,0.229,-0.502,-68.67305062
YL2,par,yellow,l,2,0.677,0.171,-0.506,-74.74150665
YL3,par,yellow,l,3,0.694,0.148,-0.546,-78.67435159
YL4,paruv,yellow,l,4,0.647,0.212,-0.435,-67.23338485
YL5,paruv,yellow,l,5,0.653,0.38,-0.273,-41.80704441
YL6,paruv,yellow,l,6,0.641,0.317,-0.324,-50.54602184
YM1,par,yellow,m,1,0.671,0.155,-0.516,-76.90014903
YM2,par,yellow,m,2,0.593,0.207,-0.386,-65.09274874
YM4,paruv,yellow,m,4,0.704,0.293,-0.411,-58.38068182
YM5,paruv,yellow,m,5,0.698,0.389,-0.309,-44.26934097
YN1,par,yellow,n,1,0.707,0.265,-0.442,-62.51768034
YN2,par,yellow,n,2,na,0.369,#VALUE!,#VALUE!
YN4,paruv,yellow,n,4,0.738,0.283,-0.455,-61.65311653
