id,treatment,morph,colony,tank,zooxt0,zooxt1,dzoox,pzoox,chlt0,chlt1,dchl,pchl
GA1,par,green,a,1,566.2630755,349.3524199,-216.9106556,-38.30563302,181.6341818,70.38329268,-111.2508891,-61.249974
GA2,par,green,a,2,566.7387828,272.5449154,-294.1938674,-51.90995858,61.01352697,46.44576,-14.56776697,-23.87629054
GA3,par,green,a,3,598.1608785,373.859412,-224.3014665,-37.49851831,111.7941045,85.72440678,-26.0696977,-23.31938506
GA4,paruv,green,a,4,1328.868672,307.4333608,-1021.435311,-76.86503058,70.81759113,71.08122905,0.263637925,0.3722775
GA5,paruv,green,a,5,976.5452782,258.5115363,-718.0337419,-73.52795185,86.18126411,121.2534694,35.07220528,40.6958585
GA6,paruv,green,a,6,1186.155043,149.940024,-1036.215019,-87.3591547,73.34415301,35.76533333,-37.57881967,-51.23628556
GB1,par,green,b,1,688.1540762,341.1040075,-347.0500687,-50.43202979,57.74357827,52.07074286,-5.672835418,-9.82418407
GB2,par,green,b,2,760.4318396,233.4163258,-527.0155138,-69.30476689,69.40005634,41.03314286,-28.36691348,-40.87448192
GB3,par,green,b,3,888.7472559,156.1810966,-732.5661593,-82.42682658,64.17047809,39.35364706,-24.81683103,-38.67328368
GB4,paruv,green,b,4,422.4673846,446.3113678,23.84398317,5.643982,57.97088083,61.05044118,3.079560347,5.3122538
GB5,paruv,green,b,5,1223.234826,372.3339054,-850.9009203,-69.56153491,85.50737794,50.9017284,-34.60564954,-40.4709516
GB6,paruv,green,c,6,550.5637773,215.8247717,-334.7390056,-60.79931507,94.92408,46.09041322,-48.83366678,-51.44497242
GC1,par,green,c,1,1004.955947,831.9975574,-172.9583897,-17.21054442,70.022818,58.39252294,-11.63029507,-16.60929308
GC2,par,green,c,2,1097.434672,400.5422726,-696.8923992,-63.50194841,59.42842105,77.38092308,17.95250202,30.2086135
GC3,par,green,c,3,na,325.9649426,325.9649426,#DIV/0!,#DIV/0!,56.3610596,#DIV/0!,#DIV/0!
GC4,paruv,green,c,4,1036.515002,348.000928,-688.5140736,-66.42586673,69.3387674,69.60733333,0.268565938,0.3873244
GC5,paruv,green,c,5,962.0453347,902.5141466,-59.53118819,-6.18798159,85.3969863,66.11559524,-19.28139106,-22.57853807
GC6,paruv,green,c,6,592.0567637,420.7004093,-171.3563544,-28.94255499,70.37533074,63.64239382,-6.732936917,-9.56718334
GD1,par,green,d,1,672.882214,388.9863473,-283.8958666,-42.19101958,54.84884013,62.38911765,7.540277522,13.7473783
GD2,par,green,d,2,970.6875384,290.3907075,-680.2968309,-70.08401818,66.56003953,45.0193007,-21.54073883,-32.36286964
GD3,par,green,d,3,1469.407777,288.0421364,-1181.365641,-80.39739949,57.87405159,45.03171429,-12.84233731,-22.19014732
GD4,paruv,green,d,4,580.407701,549.5885937,-30.81910734,-5.30990669,58.98898955,80.82582857,21.83683902,37.0184999
GD5,paruv,green,d,5,1081.350857,120.3001387,-961.0507181,-88.87501333,78.17619231,92.71118644,14.53499413,18.5926095
GD6,paruv,green,d,6,509.7845749,244.1758066,-265.6087683,-52.10215872,109.803629,60.01327869,-49.79035034,-45.34490416
GE1,par,green,e,1,855.755453,313.8001551,-541.9552978,-63.33062745,104.4228837,89.00932584,-15.41355788,-14.76070889
GE2,par,green,e,2,385.2739726,508.3502201,123.0762475,31.9451238,97.85681159,63.68762887,-34.16918273,-34.91753121
GE3,par,green,e,3,1549.694531,262.313053,-1287.381478,-83.07324136,73.36875,86.84910448,13.48035448,18.373428
GE4,paruv,green,e,4,1153.96181,1041.855135,-112.1066749,-9.71493804,91.75465798,69.96357742,-21.79108056,-23.74929081
GE5,paruv,green,e,5,1973.586032,594.828126,-1378.757906,-69.86054237,53.13130435,65.10205263,11.97074828,22.5304995
GE6,paruv,green,e,6,1504.268593,258.1957593,-1246.072834,-82.83579405,87.00785812,49.17818182,-37.8296763,-43.47845944
